Tiempo,Volt
-1.5e-05,0.8056148881819781
-1.5e-05,0.8027977582384586
-1.5e-05,0.7999334883952739
-1.49e-05,0.7970240605879239
-1.49e-05,0.7940715133604442
-1.49e-05,0.7910779391044908
-1.49e-05,0.7880454811982543
-1.48e-05,0.7849763310501887
-1.48e-05,0.7818727250527406
-1.48e-05,0.7787369414514697
-1.48e-05,0.7755712971351181
-1.47e-05,0.7723781443523788
-1.47e-05,0.76915986736126
-1.47e-05,0.7659188790170983
-1.47e-05,0.7626576173054175
-1.46e-05,0.7593785418259374
-1.46e-05,0.7560841302341714
-1.46e-05,0.7527768746471318
-1.46e-05,0.7494592780197602
-1.45e-05,0.7461338504987673
-1.45e-05,0.7428031057606247
-1.45e-05,0.7394695573405001
-1.45e-05,0.7361357149589512
-1.44e-05,0.7328040808532191
-1.44e-05,0.7294771461199564
-1.44e-05,0.726157387076217
-1.44e-05,0.7228472616455099
-1.43e-05,0.7195492057756772
-1.43e-05,0.7162656298953004
-1.43e-05,0.7129989154152763
-1.43e-05,0.7097514112821166
-1.42e-05,0.7065254305894324
-1.42e-05,0.7033232472539526
-1.42e-05,0.7001470927623056
-1.42e-05,0.6969991529946568
-1.41e-05,0.6938815651311421
-1.41e-05,0.6907964146468842
-1.41e-05,0.6877457324011975
-1.41e-05,0.6847314918264035
-1.4e-05,0.6817556062214913
-1.4e-05,0.6788199261556327
-1.4e-05,0.6759262369863611
-1.4e-05,0.6730762564969831
-1.39e-05,0.6702716326575591
-1.39e-05,0.6675139415135402
-1.39e-05,0.6648046852058948
-1.39e-05,0.6621452901262922
-1.38e-05,0.6595371052106401
-1.38e-05,0.6569814003739957
-1.38e-05,0.654479365089585
-1.38e-05,0.6520321071143738
-1.37e-05,0.6496406513633383
-1.37e-05,0.6473059389342877
-1.37e-05,0.645028826284779
-1.37e-05,0.6428100845623677
-1.36e-05,0.6406503990891197
-1.36e-05,0.6385503690010047
-1.36e-05,0.6365105070424774
-1.36e-05,0.6345312395162356
-1.35e-05,0.632612906387842
-1.35e-05,0.6307557615445718
-1.35e-05,0.6289599732075503
-1.35e-05,0.6272256244959248
-1.34e-05,0.6255527141415232
-1.34e-05,0.623941157352136
-1.34e-05,0.6223907868212718
-1.34e-05,0.6209013538819406
-1.33e-05,0.6194725298017254
-1.33e-05,0.6181039072161358
-1.33e-05,0.6167950016969458
-1.33e-05,0.6155452534519654
-1.32e-05,0.6143540291524258
-1.32e-05,0.613220623883914
-1.32e-05,0.6121442632165451
-1.32e-05,0.6111241053898353
-1.31e-05,0.610159243607503
-1.31e-05,0.6092487084372293
-1.31e-05,0.6083914703101971
-1.31e-05,0.607586442115037
-1.3e-05,0.6068324818806387
-1.3e-05,0.606128395542111
-1.3e-05,0.6054729397840255
-1.3e-05,0.6048648249549337
-1.29e-05,0.6043027180470241
-1.29e-05,0.6037852457346639
-1.29e-05,0.6033109974654756
-1.29e-05,0.6028785285975081
-1.28e-05,0.6024863635759865
-1.28e-05,0.6021329991430664
-1.28e-05,0.601816907573977
-1.28e-05,0.6015365399328976
-1.27e-05,0.6012903293419029
-1.27e-05,0.6010766942563043
-1.27e-05,0.6008940417397302
-1.27e-05,0.6007407707323101
-1.26e-05,0.6006152753053704
-1.26e-05,0.6005159478960996
-1.26e-05,0.6004411825157154
-1.26e-05,0.6003893779247385
-1.25e-05,0.6003589407690793
-1.25e-05,0.6003482886707521
-1.25e-05,0.6003558532671474
-1.25e-05,0.6003800831929323
-1.24e-05,0.6004194469987923
-1.24e-05,0.6004724360013854
-1.24e-05,0.6005375670590558
-1.24e-05,0.6006133852680247
-1.23e-05,0.600698466573978
-1.23e-05,0.6007914202941692
-1.23e-05,0.6008908915453658
-1.23e-05,0.6009955635731943
-1.22e-05,0.6011041599786671
-1.22e-05,0.6012154468379105
-1.22e-05,0.6013282347113695
-1.22e-05,0.601441380539006
-1.21e-05,0.601553789418282
-1.21e-05,0.6016644162619744
-1.21e-05,0.6017722673331474
-1.21e-05,0.6018764016548855
-1.2e-05,0.601975932292669
-1.2e-05,0.6020700275075588
-1.2e-05,0.6021579117786509
-1.2e-05,0.6022388666935442
-1.19e-05,0.602312231705862
-1.19e-05,0.6023774047591589
-1.19e-05,0.6024338427768401
-1.19e-05,0.6024810620180087
-1.18e-05,0.6025186382994542
-1.18e-05,0.6025462070842843
-1.18e-05,0.6025634634379848
-1.18e-05,0.6025701618529877
-1.17e-05,0.6025661159431003
-1.17e-05,0.6025511980094317
-1.17e-05,0.6025253384797211
-1.17e-05,0.6024885252232455
-1.16e-05,0.6024408027437389
-1.16e-05,0.6023822712530178
-1.16e-05,0.6023130856282478
-1.16e-05,0.602233454256035
-1.15e-05,0.6021436377667481
-1.15e-05,0.6020439476627107
-1.15e-05,0.6019347448441115
-1.15e-05,0.6018164380366842
-1.14e-05,0.6016894821254125
-1.14e-05,0.6015543763986853
-1.14e-05,0.6014116627075182
-1.14e-05,0.601261923544606
-1.13e-05,0.6011057800481279
-1.13e-05,0.6009438899353707
-1.13e-05,0.6007769453713525
-1.13e-05,0.6006056707777543
-1.12e-05,0.6004308205875624
-1.12e-05,0.600253176950922
-1.12e-05,0.6000735473977694
-1.12e-05,0.5998927624628865
-1.11e-05,0.5997116732790592
-1.11e-05,0.5995311491440707
-1.11e-05,0.5993520750672805
-1.11e-05,0.5991753493015474
-1.1e-05,0.5990018808662645
-1.1e-05,0.5988325870672442
-1.1e-05,0.5986683910191802
-1.1e-05,0.5985102191763575
-1.09e-05,0.5983589988772396
-1.09e-05,0.5982156559084888
