x-axis,F1
second,Volt
-10.80900E-06,+387.25146892E-03
-10.78400E-06,+387.20015521E-03
-10.75900E-06,+385.48586095E-03
-10.73400E-06,+385.27642010E-03
-10.70900E-06,+383.14211092E-03
-10.68400E-06,+380.81440997E-03
-10.65900E-06,+382.17103170E-03
-10.63400E-06,+380.28306396E-03
-10.60900E-06,+379.21144680E-03
-10.58400E-06,+377.33277101E-03
-10.55900E-06,+376.96293540E-03
-10.53400E-06,+376.06203269E-03
-10.50900E-06,+374.90116410E-03
-10.48400E-06,+373.45469093E-03
-10.45900E-06,+373.70459494E-03
-10.43400E-06,+371.90366844E-03
-10.40900E-06,+369.30149825E-03
-10.38400E-06,+368.98375566E-03
-10.35900E-06,+369.68527939E-03
-10.33400E-06,+367.41945444E-03
-10.30900E-06,+367.41945444E-03
-10.28400E-06,+366.03009469E-03
-10.25900E-06,+365.07570440E-03
-10.23400E-06,+363.45736130E-03
-10.20900E-06,+358.23244363E-03
-10.18400E-06,+354.28512925E-03
-10.15900E-06,+844.21562896E-03
-10.13400E-06,+1.20223273287E+00
-10.10900E-06,+804.21453755E-03
-10.08400E-06,+487.62904520E-03
-10.05900E-06,+397.67171158E-03
-10.03400E-06,+389.41652508E-03
-10.00900E-06,+389.12735794E-03
-9.98400E-06,+389.78365596E-03
-9.95900E-06,+391.76027511E-03
-9.93400E-06,+394.01121233E-03
-9.90900E-06,+395.66776386E-03
-9.88400E-06,+397.27785332E-03
-9.85900E-06,+398.05910333E-03
-9.83400E-06,+396.88331653E-03
-9.80900E-06,+399.58170271E-03
-9.78400E-06,+400.25408848E-03
-9.75900E-06,+399.55016471E-03
-9.73400E-06,+398.94149246E-03
-9.70900E-06,+398.84035334E-03
-9.68400E-06,+398.48931022E-03
-9.65900E-06,+399.79234359E-03
-9.63400E-06,+399.62160335E-03
-9.60900E-06,+399.67695424E-03
-9.58400E-06,+400.54423063E-03
-9.55900E-06,+401.78913455E-03
-9.53400E-06,+402.30927257E-03
-9.50900E-06,+403.55226747E-03
-9.48400E-06,+405.89601751E-03
-9.45900E-06,+405.98290640E-03
-9.43400E-06,+407.48293160E-03
-9.40900E-06,+408.42719672E-03
-9.38400E-06,+409.62136584E-03
-9.35900E-06,+411.07834269E-03
-9.33400E-06,+410.85131054E-03
-9.30900E-06,+411.27075476E-03
-9.28400E-06,+412.19484573E-03
-9.25900E-06,+412.19484573E-03
-9.23400E-06,+412.97609574E-03
-9.20900E-06,+413.37596464E-03
-9.18400E-06,+414.26367886E-03
-9.15900E-06,+414.53859576E-03
-9.13400E-06,+416.15190324E-03
-9.10900E-06,+416.90675986E-03
-9.08400E-06,+418.46925988E-03
-9.05900E-06,+420.46316682E-03
-9.03400E-06,+421.12904154E-03
-9.00900E-06,+421.80017690E-03
-8.98400E-06,+422.45647491E-03
-8.95900E-06,+423.89402293E-03
-8.93400E-06,+425.52492405E-03
-8.90900E-06,+425.20661895E-03
-8.88400E-06,+425.76821506E-03
-8.85900E-06,+426.73891342E-03
-8.83400E-06,+427.98117706E-03
-8.80900E-06,+427.89308815E-03
-8.78400E-06,+427.89308815E-03
-8.75900E-06,+429.24787235E-03
-8.73400E-06,+430.60636910E-03
-8.70900E-06,+430.48141710E-03
-8.68400E-06,+432.60500228E-03
-8.65900E-06,+434.16217722E-03
-8.63400E-06,+434.29777939E-03
-8.60900E-06,+434.94875232E-03
-8.58400E-06,+436.91584749E-03
-8.55900E-06,+437.08790025E-03
-8.53400E-06,+439.03058136E-03
-8.50900E-06,+438.15059227E-03
-8.48400E-06,+440.44191646E-03
-8.45900E-06,+441.01689911E-03
-8.43400E-06,+442.46143748E-03
-8.40900E-06,+442.50242563E-03
-8.38400E-06,+443.22592472E-03
-8.35900E-06,+444.37258058E-03
-8.33400E-06,+444.43978166E-03
-8.30900E-06,+444.75688674E-03
-8.28400E-06,+446.57920030E-03
-8.25900E-06,+447.07993761E-03
-8.23400E-06,+448.87025378E-03
-8.20900E-06,+449.77645580E-03
-8.18400E-06,+449.86574473E-03
-8.15900E-06,+451.45265881E-03
-8.13400E-06,+451.94834175E-03
-8.10900E-06,+452.97537070E-03
-8.08400E-06,+454.04218778E-03
-8.05900E-06,+454.69848579E-03
-8.03400E-06,+456.16457295E-03
-8.00900E-06,+455.49201960E-03
-7.98400E-06,+457.72707297E-03
-7.95900E-06,+457.72707297E-03
-7.93400E-06,+458.50832298E-03
-7.90900E-06,+459.13720805E-03
-7.88400E-06,+460.09909260E-03
-7.85900E-06,+460.87648708E-03
-7.83400E-06,+461.76456107E-03
-7.80900E-06,+461.74410097E-03
-7.78400E-06,+463.69263218E-03
