x-axis,1,2
second,Volt,Volt
+0.0E+00,+3.99497486651E+00,+13.24120609462E+00
+10.00E-09,+3.59296481311E+00,+19.87437197566E+00
+20.00E-09,+3.19095475972E+00,+20.07537700236E+00
+30.00E-09,+2.58793967962E+00,+20.47738705575E+00
+40.00E-09,+1.98492459953E+00,+19.87437197566E+00
+50.00E-09,+1.58291454613E+00,+19.67336694896E+00
+60.00E-09,+1.38190951943E+00,+19.27135689557E+00
+70.00E-09,+1.18090449274E+00,+19.07035186887E+00
+80.00E-09,+979.89946604E-03,+19.07035186887E+00
+90.00E-09,+979.89946604E-03,+18.86934684217E+00
+100.00E-09,+778.89443934E-03,+18.86934684217E+00
+110.00E-09,+778.89443934E-03,+18.86934684217E+00
+120.00E-09,+778.89443934E-03,+18.86934684217E+00
+130.00E-09,+778.89443934E-03,+18.86934684217E+00
+140.00E-09,+778.89443934E-03,+18.66834181547E+00
+150.00E-09,+577.88941264E-03,+18.66834181547E+00
+160.00E-09,+778.89443934E-03,+18.46733678877E+00
+170.00E-09,+778.89443934E-03,+18.46733678877E+00
+180.00E-09,+577.88941264E-03,+18.66834181547E+00
+190.00E-09,+778.89443934E-03,+18.66834181547E+00
+200.00E-09,+778.89443934E-03,+18.46733678877E+00
+210.00E-09,+778.89443934E-03,+18.46733678877E+00
+220.00E-09,+577.88941264E-03,+18.66834181547E+00
+230.00E-09,+577.88941264E-03,+18.46733678877E+00
+240.00E-09,+778.89443934E-03,+18.46733678877E+00
+250.00E-09,+577.88941264E-03,+18.46733678877E+00
+260.00E-09,+778.89443934E-03,+18.66834181547E+00
+270.00E-09,+778.89443934E-03,+18.46733678877E+00
+280.00E-09,+577.88941264E-03,+18.46733678877E+00
+290.00E-09,+778.89443934E-03,+18.46733678877E+00
+300.00E-09,+577.88941264E-03,+18.46733678877E+00
+310.00E-09,+577.88941264E-03,+18.46733678877E+00
+320.00E-09,+577.88941264E-03,+18.46733678877E+00
+330.00E-09,+577.88941264E-03,+18.46733678877E+00
+340.00E-09,+778.89443934E-03,+18.46733678877E+00
+350.00E-09,+577.88941264E-03,+18.46733678877E+00
+360.00E-09,+778.89443934E-03,+18.46733678877E+00
+370.00E-09,+577.88941264E-03,+18.66834181547E+00
+380.00E-09,+376.88438594E-03,+18.46733678877E+00
+390.00E-09,+778.89443934E-03,+18.66834181547E+00
+400.00E-09,+577.88941264E-03,+18.46733678877E+00
+410.00E-09,+577.88941264E-03,+18.46733678877E+00
+420.00E-09,+778.89443934E-03,+18.46733678877E+00
